2026-09-06T17:15:23.7162862+08:00 pid=74892 tid=12 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:15:24.3784065+08:00 pid=74892 tid=12 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:16:49.5260014+08:00 pid=74892 tid=12 left-down x=779 y=1278 wordForeground=False
2026-09-06T17:18:48.3869379+08:00 pid=74892 tid=12 left-down x=770 y=1201 wordForeground=False
2026-09-06T17:18:55.5487067+08:00 pid=74892 tid=12 left-down x=2258 y=1350 wordForeground=True
2026-09-06T17:20:33.4219940+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:20:36.1052125+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:20:38.6422189+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:22:10.0140376+08:00 pid=74892 tid=12 left-down x=1935 y=1345 wordForeground=True
2026-09-06T17:22:13.3733869+08:00 pid=74892 tid=12 left-down x=1808 y=1615 wordForeground=True
2026-09-06T17:23:04.4957273+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:23:32.5975790+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:32:00.7814019+08:00 pid=74892 tid=12 left-down x=868 y=930 wordForeground=False
2026-09-06T17:32:12.3985246+08:00 pid=74892 tid=12 left-down x=716 y=707 wordForeground=False
2026-09-06T17:32:14.9137797+08:00 pid=74892 tid=12 left-down x=653 y=533 wordForeground=False
2026-09-06T17:32:18.1995624+08:00 pid=74892 tid=12 left-down x=1891 y=416 wordForeground=False
2026-09-06T17:34:01.4008371+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:34:04.5380900+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:34:07.0603647+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:35:39.4073267+08:00 pid=74892 tid=12 left-down x=675 y=1190 wordForeground=False
2026-09-06T17:35:46.0770908+08:00 pid=74892 tid=12 left-down x=1961 y=1652 wordForeground=True
2026-09-06T17:35:49.1852577+08:00 pid=74892 tid=12 left-down x=1986 y=1555 wordForeground=True
2026-09-06T17:36:00.9961691+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:36:03.8997877+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:36:06.5198510+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:38:54.0441060+08:00 pid=74892 tid=12 left-down x=813 y=1058 wordForeground=False
2026-09-06T17:39:05.9831093+08:00 pid=74892 tid=12 left-down x=2050 y=1012 wordForeground=True
2026-09-06T17:39:09.6422726+08:00 pid=74892 tid=12 left-down x=255 y=1492 wordForeground=False
2026-09-06T17:39:12.5564115+08:00 pid=74892 tid=12 left-down x=961 y=1043 wordForeground=False
2026-09-06T17:40:56.8239918+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:40:59.3596546+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:41:01.8610170+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:41:58.3026659+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:42:16.7626444+08:00 pid=74892 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:44:00.8234481+08:00 pid=74892 tid=12 left-down x=596 y=1205 wordForeground=False
2026-09-06T17:44:21.5007325+08:00 pid=74892 tid=12 left-down x=2094 y=1018 wordForeground=True
2026-09-06T17:44:24.8181266+08:00 pid=74892 tid=12 left-down x=763 y=1215 wordForeground=False
2026-09-06T17:45:09.1033344+08:00 pid=74892 tid=12 left-down x=737 y=1273 wordForeground=False
2026-09-06T17:45:12.9724251+08:00 pid=74892 tid=12 left-down x=2357 y=1096 wordForeground=False
2026-09-06T17:47:33.7927404+08:00 pid=74892 tid=12 left-down x=894 y=1217 wordForeground=False
2026-09-06T17:47:52.9605182+08:00 pid=74892 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:47:55.7045581+08:00 pid=74892 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:47:58.4468889+08:00 pid=74892 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:48:43.7080550+08:00 pid=74892 tid=12 left-down x=1776 y=1270 wordForeground=False
