2026-09-06T11:00:22.1918673+08:00 pid=27256 tid=12 left-down x=1155 y=1210 wordForeground=True
2026-09-06T11:00:22.8252047+08:00 pid=27256 tid=12 left-down x=1155 y=1210 wordForeground=True
2026-09-06T11:01:26.1226038+08:00 pid=27256 tid=12 left-down x=1155 y=1060 wordForeground=True
2026-09-06T11:01:26.7425410+08:00 pid=27256 tid=12 left-down x=1155 y=1060 wordForeground=True
2026-09-06T11:03:20.3714336+08:00 pid=27256 tid=12 left-down x=872 y=865 wordForeground=False
2026-09-06T11:03:29.6682455+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:03:44.3583472+08:00 pid=27256 tid=12 left-down x=2024 y=1163 wordForeground=True
2026-09-06T11:04:28.7771560+08:00 pid=27256 tid=12 left-down x=1155 y=1210 wordForeground=True
2026-09-06T11:04:29.4788402+08:00 pid=27256 tid=12 left-down x=1155 y=1210 wordForeground=True
2026-09-06T11:04:49.1254641+08:00 pid=27256 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T11:05:33.4275591+08:00 pid=27256 tid=12 left-down x=1140 y=1207 wordForeground=True
2026-09-06T11:05:34.1119076+08:00 pid=27256 tid=12 left-down x=1140 y=1207 wordForeground=True
2026-09-06T11:06:57.5873694+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T11:07:00.4268763+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T11:07:02.8118268+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T11:07:53.2116877+08:00 pid=27256 tid=12 left-down x=795 y=1222 wordForeground=False
2026-09-06T11:07:57.9633592+08:00 pid=27256 tid=12 left-down x=2315 y=1180 wordForeground=True
2026-09-06T11:09:30.4484203+08:00 pid=27256 tid=12 left-down x=2178 y=458 wordForeground=False
2026-09-06T11:10:07.5582280+08:00 pid=27256 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T11:10:10.3355939+08:00 pid=27256 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T11:14:03.7779212+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:14:07.2112814+08:00 pid=27256 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:14:21.8953147+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:14:25.0732815+08:00 pid=27256 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:14:39.2862555+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:15:52.2567045+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:17:35.3150413+08:00 pid=27256 tid=12 left-down x=1838 y=774 wordForeground=True
2026-09-06T11:20:19.2234147+08:00 pid=27256 tid=12 left-down x=1072 y=2130 wordForeground=False
2026-09-06T11:20:23.0177729+08:00 pid=27256 tid=12 left-down x=2255 y=1372 wordForeground=True
2026-09-06T11:20:24.1297941+08:00 pid=27256 tid=12 left-down x=2198 y=1441 wordForeground=True
2026-09-06T11:21:15.7946073+08:00 pid=27256 tid=12 left-down x=795 y=1238 wordForeground=False
2026-09-06T11:21:18.1330019+08:00 pid=27256 tid=12 left-down x=2192 y=1367 wordForeground=True
2026-09-06T11:21:19.2234029+08:00 pid=27256 tid=12 left-down x=740 y=1215 wordForeground=False
2026-09-06T11:22:20.7804471+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:23.7443925+08:00 pid=27256 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:37.6382327+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:22:41.3644601+08:00 pid=27256 tid=12 left-down x=1665 y=747 wordForeground=False
2026-09-06T11:22:55.1702298+08:00 pid=27256 tid=12 left-down x=1190 y=747 wordForeground=False
2026-09-06T11:23:11.7458819+08:00 pid=27256 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T11:24:09.7505078+08:00 pid=27256 tid=12 left-down x=809 y=1245 wordForeground=False
2026-09-06T11:24:16.5705436+08:00 pid=27256 tid=12 left-down x=199 y=1498 wordForeground=False
2026-09-06T11:24:17.3481422+08:00 pid=27256 tid=12 left-down x=206 y=1485 wordForeground=False
2026-09-06T11:24:19.3130462+08:00 pid=27256 tid=12 left-down x=2049 y=1405 wordForeground=True
2026-09-06T11:30:09.0171060+08:00 pid=27256 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T11:30:56.9405721+08:00 pid=27256 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:30:57.5435096+08:00 pid=27256 tid=12 left-down x=1155 y=1337 wordForeground=True
2026-09-06T11:42:00.5419852+08:00 pid=27256 tid=12 left-down x=806 y=1112 wordForeground=False
2026-09-06T11:42:44.5876737+08:00 pid=27256 tid=12 left-down x=239 y=1463 wordForeground=False
2026-09-06T11:42:48.4377182+08:00 pid=27256 tid=12 left-down x=1500 y=1569 wordForeground=True
2026-09-06T11:42:49.8086661+08:00 pid=27256 tid=12 left-down x=661 y=1211 wordForeground=False
2026-09-06T11:42:51.9578908+08:00 pid=27256 tid=12 left-down x=1925 y=1462 wordForeground=False
2026-09-06T11:42:57.7808406+08:00 pid=27256 tid=12 left-down x=1927 y=477 wordForeground=False
2026-09-06T11:43:13.8454810+08:00 pid=27256 tid=12 left-down x=2392 y=184 wordForeground=False
2026-09-06T11:43:16.4257646+08:00 pid=27256 tid=12 left-down x=145 y=94 wordForeground=False
2026-09-06T11:43:19.8956757+08:00 pid=27256 tid=12 left-down x=343 y=307 wordForeground=False
2026-09-06T11:43:22.7154066+08:00 pid=27256 tid=12 left-down x=1441 y=2145 wordForeground=False
