2026-09-06T16:40:52.7447452+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:40:55.2033052+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:43:15.4575626+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T16:44:46.2522280+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T16:45:51.0914983+08:00 pid=69024 tid=11 left-down x=691 y=1252 wordForeground=False
2026-09-06T16:46:00.7637179+08:00 pid=69024 tid=11 left-down x=191 y=1485 wordForeground=False
2026-09-06T16:46:03.6046629+08:00 pid=69024 tid=11 left-down x=2508 y=1121 wordForeground=True
2026-09-06T16:47:31.5321332+08:00 pid=69024 tid=11 left-down x=776 y=1255 wordForeground=False
2026-09-06T16:47:44.5959228+08:00 pid=69024 tid=11 left-down x=710 y=994 wordForeground=False
2026-09-06T16:47:46.5724457+08:00 pid=69024 tid=11 left-down x=699 y=1023 wordForeground=False
2026-09-06T16:47:48.2132856+08:00 pid=69024 tid=11 left-down x=743 y=1042 wordForeground=False
2026-09-06T16:47:50.6858210+08:00 pid=69024 tid=11 left-down x=764 y=1021 wordForeground=False
2026-09-06T16:47:54.7492410+08:00 pid=69024 tid=11 left-down x=831 y=1077 wordForeground=False
2026-09-06T16:48:05.0466431+08:00 pid=69024 tid=11 left-down x=1046 y=1329 wordForeground=False
2026-09-06T16:48:39.0858202+08:00 pid=69024 tid=11 left-down x=271 y=1440 wordForeground=False
2026-09-06T16:48:40.9332911+08:00 pid=69024 tid=11 left-down x=253 y=1462 wordForeground=False
2026-09-06T16:48:44.3138734+08:00 pid=69024 tid=11 left-down x=270 y=1333 wordForeground=False
2026-09-06T16:48:46.9863323+08:00 pid=69024 tid=11 left-down x=196 y=705 wordForeground=False
2026-09-06T16:48:51.2065919+08:00 pid=69024 tid=11 left-down x=135 y=384 wordForeground=False
2026-09-06T16:58:19.0619030+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T16:58:22.0359800+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T16:58:24.4382899+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T16:59:24.1094281+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:00:18.7861398+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:03:54.7940672+08:00 pid=69024 tid=11 left-down x=711 y=1181 wordForeground=False
2026-09-06T17:04:02.5224394+08:00 pid=69024 tid=11 left-down x=2039 y=1034 wordForeground=True
2026-09-06T17:04:12.0947394+08:00 pid=69024 tid=11 left-down x=759 y=1233 wordForeground=False
2026-09-06T17:06:41.0930721+08:00 pid=69024 tid=11 left-down x=672 y=1256 wordForeground=False
2026-09-06T17:06:49.8753776+08:00 pid=69024 tid=11 left-down x=250 y=1460 wordForeground=False
2026-09-06T17:06:52.8627011+08:00 pid=69024 tid=11 left-down x=902 y=1143 wordForeground=False
2026-09-06T17:08:07.2361945+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:08:09.9866085+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:08:12.5299332+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
2026-09-06T17:08:27.9864868+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:08:41.0390357+08:00 pid=69024 tid=11 left-down x=2024 y=1187 wordForeground=True
2026-09-06T17:09:36.0668844+08:00 pid=69024 tid=11 left-down x=841 y=1058 wordForeground=False
2026-09-06T17:10:30.0878907+08:00 pid=69024 tid=11 left-down x=1945 y=1414 wordForeground=True
2026-09-06T17:10:34.1075071+08:00 pid=69024 tid=11 left-down x=782 y=1229 wordForeground=False
2026-09-06T17:10:37.5528312+08:00 pid=69024 tid=11 left-down x=720 y=1078 wordForeground=False
2026-09-06T17:10:40.6853229+08:00 pid=69024 tid=11 left-down x=607 y=974 wordForeground=False
2026-09-06T17:10:44.1788178+08:00 pid=69024 tid=11 left-down x=1871 y=407 wordForeground=False
2026-09-06T17:10:48.2780255+08:00 pid=69024 tid=11 left-down x=2301 y=1453 wordForeground=True
2026-09-06T17:11:36.7889500+08:00 pid=69024 tid=11 left-down x=1776 y=1270 wordForeground=False
2026-09-06T17:13:19.0071948+08:00 pid=69024 tid=11 left-down x=837 y=1224 wordForeground=False
2026-09-06T17:14:15.5070222+08:00 pid=69024 tid=11 left-down x=1838 y=688 wordForeground=True
2026-09-06T17:15:24.0077799+08:00 pid=69024 tid=11 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:15:24.5453501+08:00 pid=69024 tid=11 left-down x=1141 y=1087 wordForeground=True
2026-09-06T17:16:49.8459025+08:00 pid=69024 tid=11 left-down x=779 y=1278 wordForeground=False
2026-09-06T17:18:48.6432025+08:00 pid=69024 tid=11 left-down x=770 y=1201 wordForeground=False
2026-09-06T17:18:55.7888325+08:00 pid=69024 tid=11 left-down x=2258 y=1350 wordForeground=True
2026-09-06T17:20:33.7407910+08:00 pid=69024 tid=11 left-down x=1382 y=1120 wordForeground=False
2026-09-06T17:20:36.3078185+08:00 pid=69024 tid=11 left-down x=2332 y=460 wordForeground=False
2026-09-06T17:20:39.0277095+08:00 pid=69024 tid=11 left-down x=2492 y=460 wordForeground=False
