2026-09-06T18:11:30.6404616+08:00 pid=75316 tid=12 left-down x=1265 y=1795 wordForeground=True
2026-09-06T18:13:07.7981033+08:00 pid=75316 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T18:13:10.3299875+08:00 pid=75316 tid=12 left-down x=1602 y=747 wordForeground=False
2026-09-06T18:13:26.6595548+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T18:13:29.8904348+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T18:13:32.3514377+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T18:14:34.1019732+08:00 pid=75316 tid=12 left-down x=806 y=1212 wordForeground=False
2026-09-06T18:14:50.9815645+08:00 pid=75316 tid=12 left-down x=815 y=1228 wordForeground=False
2026-09-06T18:14:57.9661593+08:00 pid=75316 tid=12 left-down x=2177 y=1494 wordForeground=True
2026-09-06T18:15:01.7102851+08:00 pid=75316 tid=12 left-down x=2100 y=1471 wordForeground=True
2026-09-06T18:15:03.4582696+08:00 pid=75316 tid=12 left-down x=2019 y=1474 wordForeground=True
2026-09-06T18:15:04.0070793+08:00 pid=75316 tid=12 left-down x=2019 y=1475 wordForeground=True
2026-09-06T18:15:12.2931933+08:00 pid=75316 tid=12 left-down x=2639 y=748 wordForeground=True
2026-09-06T18:15:16.9247471+08:00 pid=75316 tid=12 left-down x=835 y=1292 wordForeground=False
2026-09-06T18:15:19.1814690+08:00 pid=75316 tid=12 left-down x=848 y=1359 wordForeground=False
2026-09-06T18:15:21.3319479+08:00 pid=75316 tid=12 left-down x=863 y=1433 wordForeground=False
2026-09-06T18:15:56.4971278+08:00 pid=75316 tid=12 left-down x=218 y=1472 wordForeground=False
2026-09-06T18:18:00.2627350+08:00 pid=75316 tid=12 left-down x=1317 y=747 wordForeground=False
2026-09-06T18:18:18.1996062+08:00 pid=75316 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T18:18:21.6084549+08:00 pid=75316 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T18:18:24.1760689+08:00 pid=75316 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T18:19:41.0876937+08:00 pid=75316 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T18:19:54.9078606+08:00 pid=75316 tid=12 left-down x=2024 y=1211 wordForeground=True
2026-09-06T18:22:18.8417637+08:00 pid=75316 tid=12 left-down x=2067 y=1076 wordForeground=True
2026-09-06T18:22:24.7755974+08:00 pid=75316 tid=12 left-down x=1136 y=1362 wordForeground=False
2026-09-06T18:22:56.0505588+08:00 pid=75316 tid=12 left-down x=2228 y=1331 wordForeground=False
2026-09-06T18:23:01.7010433+08:00 pid=75316 tid=12 left-down x=684 y=811 wordForeground=False
2026-09-06T18:23:03.4202001+08:00 pid=75316 tid=12 left-down x=677 y=753 wordForeground=False
2026-09-06T18:23:09.5379536+08:00 pid=75316 tid=12 left-down x=1890 y=411 wordForeground=False
2026-09-06T18:23:16.2212926+08:00 pid=75316 tid=12 left-down x=1381 y=2159 wordForeground=False
2026-09-06T18:23:24.3828057+08:00 pid=75316 tid=12 left-down x=803 y=1363 wordForeground=False
2026-09-06T18:25:27.1545833+08:00 pid=75316 tid=12 left-down x=1245 y=1142 wordForeground=False
2026-09-06T18:25:32.4034663+08:00 pid=75316 tid=12 left-down x=227 y=1461 wordForeground=False
2026-09-06T18:25:37.7876587+08:00 pid=75316 tid=12 left-down x=830 y=1233 wordForeground=False
