2026-09-06T15:07:02.0476005+08:00 pid=27764 tid=19 callback-end
2026-09-06T15:07:02.0525974+08:00 pid=27764 tid=1 addin-coordinate-selection formulaId=<null> objectMode=<null>
2026-09-06T15:09:35.3948449+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:21:10.5788764+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:21:35.0093279+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:21:37.8247048+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:21:40.1753439+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:22:32.4766158+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:26:36.6248525+08:00 pid=27764 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:26:37.2450651+08:00 pid=27764 tid=12 left-down x=1140 y=1088 wordForeground=True
2026-09-06T15:27:09.1442335+08:00 pid=27764 tid=12 left-down x=1838 y=688 wordForeground=True
2026-09-06T15:27:51.6131765+08:00 pid=27764 tid=12 left-down x=1382 y=1120 wordForeground=False
2026-09-06T15:27:54.5248674+08:00 pid=27764 tid=12 left-down x=2332 y=460 wordForeground=False
2026-09-06T15:27:56.8904122+08:00 pid=27764 tid=12 left-down x=2492 y=460 wordForeground=False
2026-09-06T15:29:57.1464040+08:00 pid=27764 tid=12 left-down x=1776 y=1270 wordForeground=False
2026-09-06T15:30:43.1977187+08:00 pid=27764 tid=12 left-down x=2024 y=1187 wordForeground=True
2026-09-06T15:31:48.4978222+08:00 pid=27764 tid=12 left-down x=698 y=1234 wordForeground=False
2026-09-06T15:31:52.2384007+08:00 pid=27764 tid=12 left-down x=1685 y=1610 wordForeground=True
2026-09-06T15:33:03.3800176+08:00 pid=27764 tid=12 left-down x=1838 y=860 wordForeground=True
2026-09-06T15:33:48.4105336+08:00 pid=27764 tid=12 left-down x=219 y=1479 wordForeground=False
